0.00.352.962 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.489.550 W srv  llama_server: -----------------
0.00.489.552 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.489.552 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.489.552 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.489.552 W srv  llama_server: -----------------
9.49.962.249 I srv    load_model: loading model 'ggml-org/Qwen3.5-35B-A3B-GGUF:Q8_0'
9.53.925.275 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
9.53.925.277 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
9.53.925.277 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

9.54.024.566 I srv    load_model: loaded multimodal model, '/home/wes/.cache/huggingface/hub/models--ggml-org--Qwen3.5-35B-A3B-GGUF/snapshots/3127ef0b7fd4f12626506419ceefde54fa8db53c/mmproj-Qwen3.5-35B-A3B-Q8_0.gguf'
9.54.037.758 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 262144, kv_unified = 'true'
9.54.040.148 I srv  llama_server: model loaded
9.54.040.152 I srv  llama_server: listening on http://0.0.0.0:8018
9.56.286.414 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
9.56.286.461 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
9.59.483.412 I slot print_timing: id  0 | task 1 | n_decoded =    720, tg = 239.68 t/s, tg_3s = 239.68 t/s
10.02.487.288 I slot print_timing: id  0 | task 1 | n_decoded =   1440, tg = 239.69 t/s, tg_3s = 239.69 t/s
10.05.487.345 I slot print_timing: id  0 | task 1 | n_decoded =   2158, tg = 239.57 t/s, tg_3s = 239.33 t/s
10.08.488.590 I slot print_timing: id  0 | task 1 | n_decoded =   2872, tg = 239.15 t/s, tg_3s = 237.90 t/s
10.08.572.838 I slot print_timing: id  0 | task 1 | prompt eval time =     192.69 ms /   217 tokens (    0.89 ms per token,  1126.16 tokens per second)
10.08.572.839 I slot print_timing: id  0 | task 1 |        eval time =   12093.39 ms /  2892 tokens (    4.18 ms per token,   239.14 tokens per second)
10.08.572.840 I slot print_timing: id  0 | task 1 |       total time =   12286.08 ms /  3109 tokens
10.08.572.842 I slot print_timing: id  0 | task 1 |    graphs reused =       2879
10.08.572.865 I slot      release: id  0 | task 1 | stop processing: n_tokens = 3108, truncated = 0
10.08.603.667 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
10.08.603.741 I slot launch_slot_: id  0 | task 2898 | processing task, is_child = 0
10.11.719.927 I slot print_timing: id  0 | task 2898 | n_decoded =    721, tg = 240.09 t/s, tg_3s = 240.09 t/s
10.14.722.328 I slot print_timing: id  0 | task 2898 | n_decoded =   1441, tg = 239.95 t/s, tg_3s = 239.81 t/s
10.17.723.135 I slot print_timing: id  0 | task 2898 | n_decoded =   2159, tg = 239.72 t/s, tg_3s = 239.27 t/s
10.20.727.086 I slot print_timing: id  0 | task 2898 | n_decoded =   2874, tg = 239.30 t/s, tg_3s = 238.02 t/s
10.20.802.896 I slot print_timing: id  0 | task 2898 | prompt eval time =     112.35 ms /   217 tokens (    0.52 ms per token,  1931.50 tokens per second)
10.20.802.897 I slot print_timing: id  0 | task 2898 |        eval time =   12086.01 ms /  2892 tokens (    4.18 ms per token,   239.28 tokens per second)
10.20.802.897 I slot print_timing: id  0 | task 2898 |       total time =   12198.36 ms /  3109 tokens
10.20.802.898 I slot print_timing: id  0 | task 2898 |    graphs reused =       5757
10.20.802.911 I slot      release: id  0 | task 2898 | stop processing: n_tokens = 3108, truncated = 0
10.20.832.356 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
10.20.832.417 I slot launch_slot_: id  0 | task 5795 | processing task, is_child = 0
10.23.947.741 I slot print_timing: id  0 | task 5795 | n_decoded =    720, tg = 239.83 t/s, tg_3s = 239.83 t/s
10.26.951.429 I slot print_timing: id  0 | task 5795 | n_decoded =   1440, tg = 239.77 t/s, tg_3s = 239.71 t/s
10.29.954.804 I slot print_timing: id  0 | task 5795 | n_decoded =   2158, tg = 239.53 t/s, tg_3s = 239.06 t/s
10.32.955.812 I slot print_timing: id  0 | task 5795 | n_decoded =   2871, tg = 239.05 t/s, tg_3s = 237.59 t/s
10.33.044.226 I slot print_timing: id  0 | task 5795 | prompt eval time =     112.58 ms /   217 tokens (    0.52 ms per token,  1927.57 tokens per second)
10.33.044.227 I slot print_timing: id  0 | task 5795 |        eval time =   12098.56 ms /  2892 tokens (    4.18 ms per token,   239.04 tokens per second)
10.33.044.228 I slot print_timing: id  0 | task 5795 |       total time =   12211.14 ms /  3109 tokens
10.33.044.228 I slot print_timing: id  0 | task 5795 |    graphs reused =       8635
10.33.044.241 I slot      release: id  0 | task 5795 | stop processing: n_tokens = 3108, truncated = 0
10.33.073.047 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
10.33.073.113 I slot launch_slot_: id  0 | task 8692 | processing task, is_child = 0
10.36.187.313 I slot print_timing: id  0 | task 8692 | n_decoded =    720, tg = 239.90 t/s, tg_3s = 239.90 t/s
10.39.189.415 I slot print_timing: id  0 | task 8692 | n_decoded =   1439, tg = 239.70 t/s, tg_3s = 239.50 t/s
10.42.190.688 I slot print_timing: id  0 | task 8692 | n_decoded =   2157, tg = 239.54 t/s, tg_3s = 239.23 t/s
10.45.193.069 I slot print_timing: id  0 | task 8692 | n_decoded =   2871, tg = 239.11 t/s, tg_3s = 237.81 t/s
10.45.281.490 I slot print_timing: id  0 | task 8692 | prompt eval time =     112.20 ms /   217 tokens (    0.52 ms per token,  1933.99 tokens per second)
10.45.281.491 I slot print_timing: id  0 | task 8692 |        eval time =   12095.48 ms /  2892 tokens (    4.18 ms per token,   239.10 tokens per second)
10.45.281.491 I slot print_timing: id  0 | task 8692 |       total time =   12207.68 ms /  3109 tokens
10.45.281.492 I slot print_timing: id  0 | task 8692 |    graphs reused =      11513
10.45.281.505 I slot      release: id  0 | task 8692 | stop processing: n_tokens = 3108, truncated = 0
10.45.311.223 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
10.45.311.311 I slot launch_slot_: id  0 | task 11589 | processing task, is_child = 0
10.48.426.546 I slot print_timing: id  0 | task 11589 | n_decoded =    720, tg = 239.83 t/s, tg_3s = 239.83 t/s
10.51.427.826 I slot print_timing: id  0 | task 11589 | n_decoded =   1439, tg = 239.70 t/s, tg_3s = 239.56 t/s
10.54.428.936 I slot print_timing: id  0 | task 11589 | n_decoded =   2157, tg = 239.54 t/s, tg_3s = 239.24 t/s
10.57.432.398 I slot print_timing: id  0 | task 11589 | n_decoded =   2871, tg = 239.09 t/s, tg_3s = 237.73 t/s
10.57.520.830 I slot print_timing: id  0 | task 11589 | prompt eval time =     112.33 ms /   217 tokens (    0.52 ms per token,  1931.86 tokens per second)
10.57.520.831 I slot print_timing: id  0 | task 11589 |        eval time =   12096.47 ms /  2892 tokens (    4.18 ms per token,   239.08 tokens per second)
10.57.520.832 I slot print_timing: id  0 | task 11589 |       total time =   12208.80 ms /  3109 tokens
10.57.520.832 I slot print_timing: id  0 | task 11589 |    graphs reused =      14391
10.57.520.845 I slot      release: id  0 | task 11589 | stop processing: n_tokens = 3108, truncated = 0
10.57.567.751 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
10.57.567.968 I slot launch_slot_: id  0 | task 14486 | processing task, is_child = 0
10.58.845.921 I slot print_timing: id  0 | task 14486 | prompt eval time =     993.93 ms / 11096 tokens (    0.09 ms per token, 11163.80 tokens per second)
10.58.845.923 I slot print_timing: id  0 | task 14486 |        eval time =     283.72 ms /    65 tokens (    4.36 ms per token,   229.10 tokens per second)
10.58.845.923 I slot print_timing: id  0 | task 14486 |       total time =    1277.65 ms / 11161 tokens
10.58.845.924 I slot print_timing: id  0 | task 14486 |    graphs reused =      14454
10.58.846.211 I slot      release: id  0 | task 14486 | stop processing: n_tokens = 11160, truncated = 0
10.58.893.823 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
10.58.894.008 I slot launch_slot_: id  0 | task 14562 | processing task, is_child = 0
11.00.165.188 I slot print_timing: id  0 | task 14562 | prompt eval time =     989.32 ms / 11096 tokens (    0.09 ms per token, 11215.82 tokens per second)
11.00.165.190 I slot print_timing: id  0 | task 14562 |        eval time =     281.54 ms /    65 tokens (    4.33 ms per token,   230.87 tokens per second)
11.00.165.190 I slot print_timing: id  0 | task 14562 |       total time =    1270.86 ms / 11161 tokens
11.00.165.191 I slot print_timing: id  0 | task 14562 |    graphs reused =      14517
11.00.165.479 I slot      release: id  0 | task 14562 | stop processing: n_tokens = 11160, truncated = 0
11.00.207.153 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
11.00.207.327 I slot launch_slot_: id  0 | task 14638 | processing task, is_child = 0
11.01.479.728 I slot print_timing: id  0 | task 14638 | prompt eval time =     990.20 ms / 11096 tokens (    0.09 ms per token, 11205.82 tokens per second)
11.01.479.730 I slot print_timing: id  0 | task 14638 |        eval time =     281.87 ms /    65 tokens (    4.34 ms per token,   230.60 tokens per second)
11.01.479.730 I slot print_timing: id  0 | task 14638 |       total time =    1272.07 ms / 11161 tokens
11.01.479.731 I slot print_timing: id  0 | task 14638 |    graphs reused =      14580
11.01.480.011 I slot      release: id  0 | task 14638 | stop processing: n_tokens = 11160, truncated = 0
11.01.520.950 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
11.01.521.141 I slot launch_slot_: id  0 | task 14714 | processing task, is_child = 0
11.02.793.201 I slot print_timing: id  0 | task 14714 | prompt eval time =     990.11 ms / 11096 tokens (    0.09 ms per token, 11206.86 tokens per second)
11.02.793.203 I slot print_timing: id  0 | task 14714 |        eval time =     281.62 ms /    65 tokens (    4.33 ms per token,   230.81 tokens per second)
11.02.793.203 I slot print_timing: id  0 | task 14714 |       total time =    1271.72 ms / 11161 tokens
11.02.793.204 I slot print_timing: id  0 | task 14714 |    graphs reused =      14643
11.02.793.481 I slot      release: id  0 | task 14714 | stop processing: n_tokens = 11160, truncated = 0
11.02.831.739 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
11.02.831.921 I slot launch_slot_: id  0 | task 14790 | processing task, is_child = 0
11.04.103.149 I slot print_timing: id  0 | task 14790 | prompt eval time =     989.36 ms / 11096 tokens (    0.09 ms per token, 11215.35 tokens per second)
11.04.103.151 I slot print_timing: id  0 | task 14790 |        eval time =     281.57 ms /    65 tokens (    4.33 ms per token,   230.85 tokens per second)
11.04.103.151 I slot print_timing: id  0 | task 14790 |       total time =    1270.92 ms / 11161 tokens
11.04.103.152 I slot print_timing: id  0 | task 14790 |    graphs reused =      14706
11.04.103.428 I slot      release: id  0 | task 14790 | stop processing: n_tokens = 11160, truncated = 0
11.04.127.858 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
11.04.127.968 I slot launch_slot_: id  0 | task 14866 | processing task, is_child = 0
11.07.261.616 I slot print_timing: id  0 | task 14866 | n_decoded =    720, tg = 239.80 t/s, tg_3s = 239.80 t/s
11.08.085.985 I slot print_timing: id  0 | task 14866 | prompt eval time =     130.71 ms /   602 tokens (    0.22 ms per token,  4605.69 tokens per second)
11.08.085.986 I slot print_timing: id  0 | task 14866 |        eval time =    3826.85 ms /   918 tokens (    4.17 ms per token,   239.88 tokens per second)
11.08.085.987 I slot print_timing: id  0 | task 14866 |       total time =    3957.56 ms /  1520 tokens
11.08.085.987 I slot print_timing: id  0 | task 14866 |    graphs reused =      15619
11.08.086.012 I slot      release: id  0 | task 14866 | stop processing: n_tokens = 1519, truncated = 0
11.08.106.324 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
11.08.106.386 I slot launch_slot_: id  0 | task 15789 | processing task, is_child = 0
11.11.235.617 I slot print_timing: id  0 | task 15789 | n_decoded =    720, tg = 239.99 t/s, tg_3s = 239.99 t/s
11.12.059.807 I slot print_timing: id  0 | task 15789 | prompt eval time =     128.76 ms /   602 tokens (    0.21 ms per token,  4675.40 tokens per second)
11.12.059.809 I slot print_timing: id  0 | task 15789 |        eval time =    3824.29 ms /   918 tokens (    4.17 ms per token,   240.04 tokens per second)
11.12.059.809 I slot print_timing: id  0 | task 15789 |       total time =    3953.05 ms /  1520 tokens
11.12.059.809 I slot print_timing: id  0 | task 15789 |    graphs reused =      16532
11.12.059.836 I slot      release: id  0 | task 15789 | stop processing: n_tokens = 1519, truncated = 0
11.12.081.055 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
11.12.081.096 I slot launch_slot_: id  0 | task 16712 | processing task, is_child = 0
11.15.213.512 I slot print_timing: id  0 | task 16712 | n_decoded =    720, tg = 239.76 t/s, tg_3s = 239.76 t/s
11.16.037.654 I slot print_timing: id  0 | task 16712 | prompt eval time =     128.98 ms /   602 tokens (    0.21 ms per token,  4667.32 tokens per second)
11.16.037.655 I slot print_timing: id  0 | task 16712 |        eval time =    3827.16 ms /   918 tokens (    4.17 ms per token,   239.86 tokens per second)
11.16.037.655 I slot print_timing: id  0 | task 16712 |       total time =    3956.14 ms /  1520 tokens
11.16.037.656 I slot print_timing: id  0 | task 16712 |    graphs reused =      17445
11.16.037.704 I slot      release: id  0 | task 16712 | stop processing: n_tokens = 1519, truncated = 0
11.16.058.802 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
11.16.058.869 I slot launch_slot_: id  0 | task 17635 | processing task, is_child = 0
11.19.191.681 I slot print_timing: id  0 | task 17635 | n_decoded =    721, tg = 240.02 t/s, tg_3s = 240.02 t/s
11.20.011.521 I slot print_timing: id  0 | task 17635 | prompt eval time =     128.55 ms /   602 tokens (    0.21 ms per token,  4683.04 tokens per second)
11.20.011.522 I slot print_timing: id  0 | task 17635 |        eval time =    3823.73 ms /   918 tokens (    4.17 ms per token,   240.08 tokens per second)
11.20.011.522 I slot print_timing: id  0 | task 17635 |       total time =    3952.28 ms /  1520 tokens
11.20.011.523 I slot print_timing: id  0 | task 17635 |    graphs reused =      18358
11.20.011.546 I slot      release: id  0 | task 17635 | stop processing: n_tokens = 1519, truncated = 0
11.20.031.540 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
11.20.031.599 I slot launch_slot_: id  0 | task 18558 | processing task, is_child = 0
11.23.163.524 I slot print_timing: id  0 | task 18558 | n_decoded =    720, tg = 239.77 t/s, tg_3s = 239.77 t/s
11.23.989.300 I slot print_timing: id  0 | task 18558 | prompt eval time =     128.74 ms /   602 tokens (    0.21 ms per token,  4676.13 tokens per second)
11.23.989.302 I slot print_timing: id  0 | task 18558 |        eval time =    3828.62 ms /   918 tokens (    4.17 ms per token,   239.77 tokens per second)
11.23.989.302 I slot print_timing: id  0 | task 18558 |       total time =    3957.36 ms /  1520 tokens
11.23.989.303 I slot print_timing: id  0 | task 18558 |    graphs reused =      19271
11.23.989.328 I slot      release: id  0 | task 18558 | stop processing: n_tokens = 1519, truncated = 0
11.24.121.403 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
11.24.121.490 I slot launch_slot_: id  0 | task 19481 | processing task, is_child = 0
11.27.248.407 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  36895, progress = 0.34, t =   3.13 s / 11800.37 tokens per second
11.27.445.013 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  38943, progress = 0.35, t =   3.32 s / 11718.51 tokens per second
11.27.643.150 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  40991, progress = 0.37, t =   3.52 s / 11640.73 tokens per second
11.27.846.201 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  43039, progress = 0.39, t =   3.72 s / 11555.97 tokens per second
11.28.052.844 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  45087, progress = 0.41, t =   3.93 s / 11469.50 tokens per second
11.28.261.595 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  47135, progress = 0.43, t =   4.14 s / 11385.85 tokens per second
11.28.472.124 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  49183, progress = 0.45, t =   4.35 s / 11305.62 tokens per second
11.28.687.125 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  51231, progress = 0.47, t =   4.57 s / 11221.78 tokens per second
11.28.905.537 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  53279, progress = 0.49, t =   4.78 s / 11137.54 tokens per second
11.29.126.874 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  55327, progress = 0.50, t =   5.01 s / 11054.20 tokens per second
11.29.347.725 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  57375, progress = 0.52, t =   5.23 s / 10978.93 tokens per second
11.29.575.408 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  59423, progress = 0.54, t =   5.45 s / 10896.11 tokens per second
11.29.804.715 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  61471, progress = 0.56, t =   5.68 s / 10816.82 tokens per second
11.30.036.775 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  63519, progress = 0.58, t =   5.91 s / 10738.69 tokens per second
11.30.270.555 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  65567, progress = 0.60, t =   6.15 s / 10663.47 tokens per second
11.30.509.930 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  67615, progress = 0.62, t =   6.39 s / 10584.49 tokens per second
11.30.751.133 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  69663, progress = 0.63, t =   6.63 s / 10508.31 tokens per second
11.30.994.512 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  71711, progress = 0.65, t =   6.87 s / 10434.18 tokens per second
11.31.242.058 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  73759, progress = 0.67, t =   7.12 s / 10359.05 tokens per second
11.31.493.949 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  75807, progress = 0.69, t =   7.37 s / 10282.90 tokens per second
11.31.749.211 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  77855, progress = 0.71, t =   7.63 s / 10207.28 tokens per second
11.32.006.814 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  79903, progress = 0.73, t =   7.89 s / 10133.54 tokens per second
11.32.268.757 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  81951, progress = 0.75, t =   8.15 s / 10059.10 tokens per second
11.32.533.618 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  83999, progress = 0.77, t =   8.41 s / 9985.84 tokens per second
11.32.800.319 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  86047, progress = 0.78, t =   8.68 s / 9914.95 tokens per second
11.33.069.036 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  88095, progress = 0.80, t =   8.95 s / 9846.07 tokens per second
11.33.343.325 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  90143, progress = 0.82, t =   9.22 s / 9775.29 tokens per second
11.33.616.476 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  92191, progress = 0.84, t =   9.49 s / 9709.76 tokens per second
11.33.892.982 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  94239, progress = 0.86, t =   9.77 s / 9644.59 tokens per second
11.34.174.637 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  96287, progress = 0.88, t =  10.05 s / 9578.10 tokens per second
11.34.458.295 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens =  98335, progress = 0.90, t =  10.34 s / 9513.39 tokens per second
11.34.744.670 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens = 100383, progress = 0.91, t =  10.62 s / 9449.71 tokens per second
11.35.038.063 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens = 102431, progress = 0.93, t =  10.92 s / 9383.35 tokens per second
11.35.333.962 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens = 104479, progress = 0.95, t =  11.21 s / 9318.37 tokens per second
11.35.632.399 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens = 106527, progress = 0.97, t =  11.51 s / 9254.69 tokens per second
11.35.939.220 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens = 108575, progress = 0.99, t =  11.82 s / 9187.71 tokens per second
11.36.062.905 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens = 109199, progress = 1.00, t =  11.94 s / 9144.80 tokens per second
11.36.162.303 I slot print_timing: id  0 | task 19481 | prompt processing, n_tokens = 109711, progress = 1.00, t =  12.04 s / 9111.83 tokens per second
11.39.221.907 I slot print_timing: id  0 | task 19481 | n_decoded =    530, tg = 176.48 t/s, tg_3s = 176.48 t/s
11.42.222.928 I slot print_timing: id  0 | task 19481 | n_decoded =   1060, tg = 176.54 t/s, tg_3s = 176.61 t/s
11.43.865.638 I slot print_timing: id  0 | task 19481 | prompt eval time =   12096.89 ms / 109715 tokens (    0.11 ms per token,  9069.69 tokens per second)
11.43.865.640 I slot print_timing: id  0 | task 19481 |        eval time =    7646.94 ms /  1350 tokens (    5.66 ms per token,   176.54 tokens per second)
11.43.865.640 I slot print_timing: id  0 | task 19481 |       total time =   19743.83 ms / 111065 tokens
11.43.865.641 I slot print_timing: id  0 | task 19481 |    graphs reused =      20614
11.43.867.807 I slot      release: id  0 | task 19481 | stop processing: n_tokens = 111064, truncated = 0
11.44.024.787 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
11.44.024.910 I slot launch_slot_: id  0 | task 20889 | processing task, is_child = 0
11.47.156.968 I slot print_timing: id  0 | task 20889 | prompt processing, n_tokens =  36895, progress = 0.34, t =   3.13 s / 11780.88 tokens per second
11.47.354.092 I slot print_timing: id  0 | task 20889 | prompt processing, n_tokens =  38943, progress = 0.35, t =   3.33 s / 11698.48 tokens per second
11.47.552.542 I slot print_timing: id  0 | task 20889 | prompt processing, n_tokens =  40991, progress = 0.37, t =   3.53 s / 11620.92 tokens per second
11.47.756.067 I slot print_timing: id  0 | task 20889 | prompt processing, n_tokens =  43039, progress = 0.39, t =   3.73 s / 11535.92 tokens per second
