0.00.316.776 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.446.525 W srv  llama_server: -----------------
0.00.446.527 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.446.527 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.446.527 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.446.527 W srv  llama_server: -----------------
0.55.443.330 I srv    load_model: loading model 'unsloth/Qwen3.5-2B-GGUF:Q8_0'
0.56.306.991 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
0.56.306.994 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
0.56.306.994 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

0.56.417.976 I srv    load_model: loaded multimodal model, '/home/wes/.cache/huggingface/hub/models--unsloth--Qwen3.5-2B-GGUF/snapshots/f6d5376be1edb4d416d56da11e5397a961aca8ae/mmproj-BF16.gguf'
0.56.425.179 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 262144, kv_unified = 'true'
0.56.427.594 I srv  llama_server: model loaded
0.56.427.599 I srv  llama_server: listening on http://0.0.0.0:8018
0.57.754.196 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.57.754.249 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.59.996.604 I slot print_timing: id  0 | task 1 | prompt eval time =      37.73 ms /   217 tokens (    0.17 ms per token,  5751.85 tokens per second)
0.59.996.606 I slot print_timing: id  0 | task 1 |        eval time =    2204.32 ms /   939 tokens (    2.35 ms per token,   425.98 tokens per second)
0.59.996.606 I slot print_timing: id  0 | task 1 |       total time =    2242.05 ms /  1156 tokens
0.59.996.609 I slot print_timing: id  0 | task 1 |    graphs reused =        934
0.59.996.658 I slot      release: id  0 | task 1 | stop processing: n_tokens = 1155, truncated = 0
1.00.016.473 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.00.016.535 I slot launch_slot_: id  0 | task 945 | processing task, is_child = 0
1.02.250.193 I slot print_timing: id  0 | task 945 | prompt eval time =      28.80 ms /   217 tokens (    0.13 ms per token,  7534.72 tokens per second)
1.02.250.195 I slot print_timing: id  0 | task 945 |        eval time =    2204.49 ms /   939 tokens (    2.35 ms per token,   425.95 tokens per second)
1.02.250.196 I slot print_timing: id  0 | task 945 |       total time =    2233.29 ms /  1156 tokens
1.02.250.196 I slot print_timing: id  0 | task 945 |    graphs reused =       1867
1.02.250.211 I slot      release: id  0 | task 945 | stop processing: n_tokens = 1155, truncated = 0
1.02.272.375 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.02.272.446 I slot launch_slot_: id  0 | task 1889 | processing task, is_child = 0
1.04.507.856 I slot print_timing: id  0 | task 1889 | prompt eval time =      28.95 ms /   217 tokens (    0.13 ms per token,  7496.72 tokens per second)
1.04.507.860 I slot print_timing: id  0 | task 1889 |        eval time =    2206.01 ms /   939 tokens (    2.35 ms per token,   425.66 tokens per second)
1.04.507.860 I slot print_timing: id  0 | task 1889 |       total time =    2234.95 ms /  1156 tokens
1.04.507.861 I slot print_timing: id  0 | task 1889 |    graphs reused =       2800
1.04.507.877 I slot      release: id  0 | task 1889 | stop processing: n_tokens = 1155, truncated = 0
1.04.535.916 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.04.535.984 I slot launch_slot_: id  0 | task 2833 | processing task, is_child = 0
1.06.771.922 I slot print_timing: id  0 | task 2833 | prompt eval time =      29.47 ms /   217 tokens (    0.14 ms per token,  7362.42 tokens per second)
1.06.771.924 I slot print_timing: id  0 | task 2833 |        eval time =    2205.70 ms /   939 tokens (    2.35 ms per token,   425.71 tokens per second)
1.06.771.924 I slot print_timing: id  0 | task 2833 |       total time =    2235.18 ms /  1156 tokens
1.06.771.925 I slot print_timing: id  0 | task 2833 |    graphs reused =       3733
1.06.771.965 I slot      release: id  0 | task 2833 | stop processing: n_tokens = 1155, truncated = 0
1.06.793.544 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.06.793.615 I slot launch_slot_: id  0 | task 3777 | processing task, is_child = 0
1.09.027.334 I slot print_timing: id  0 | task 3777 | prompt eval time =      28.91 ms /   217 tokens (    0.13 ms per token,  7505.53 tokens per second)
1.09.027.336 I slot print_timing: id  0 | task 3777 |        eval time =    2204.38 ms /   939 tokens (    2.35 ms per token,   425.97 tokens per second)
1.09.027.336 I slot print_timing: id  0 | task 3777 |       total time =    2233.29 ms /  1156 tokens
1.09.027.337 I slot print_timing: id  0 | task 3777 |    graphs reused =       4666
1.09.027.350 I slot      release: id  0 | task 3777 | stop processing: n_tokens = 1155, truncated = 0
1.09.084.346 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.09.084.622 I slot launch_slot_: id  0 | task 4721 | processing task, is_child = 0
1.09.490.247 I slot print_timing: id  0 | task 4721 | prompt eval time =     232.29 ms / 11096 tokens (    0.02 ms per token, 47768.70 tokens per second)
1.09.490.249 I slot print_timing: id  0 | task 4721 |        eval time =     173.02 ms /    71 tokens (    2.44 ms per token,   410.36 tokens per second)
1.09.490.250 I slot print_timing: id  0 | task 4721 |       total time =     405.30 ms / 11167 tokens
1.09.490.250 I slot print_timing: id  0 | task 4721 |    graphs reused =       4735
1.09.490.548 I slot      release: id  0 | task 4721 | stop processing: n_tokens = 11166, truncated = 0
1.09.543.508 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
